objectid,title,NAME_2,description,FIND_ADDRESS,BUILD_NAME,BUILD_NAME_2,ROOM,EARLY_DATE,LATE_DATE,STYLE,identifer,PPM_ID,STILL_EXIST,GENRE,subject,THEMES,MAYBE_SUBJECT,format,filename
coll1,Sacrifice of Iphigenia,Iphigenia in Aulis,Sacrifice of Iphigenia as she is carried by Odysseus and Diomedes. Agamemnon watches from th side as the priest Calchas covers his face.,VI.8.3,House of the Tragic Poet,,3,45,79,4,MANN 9112,,1,Genre,Iphigenia; Calchas; Agamemnon; Odysessus; Diomedes,Trojan War,,image/jpeg,https://artsandculture.google.com/asset/sacrifice-of-iphigenia/TAGoLthGlgRX-w?hl=en
2,Hera and Zeus,Hierogamy,Marriage of a veiled Hera to a seated Zeus on Mount Ida.,VI.8.3,House of the Tragic Poet,,3,45,79,4,MANN 9559,,1,Genre,Hera; Zeus; Hypnos,,,image/jpeg,https://artsandculture.google.com/asset/hierogamy/jgG5yWZge4TjLg?hl=en
3,Briseis and Achilles,,Achilles surrendering Briseis to Agamemnon. ,VI.8.3,House of the Tragic Poet,,3,45,79,4,MANN 9105,,1,Genre,Briseis; Achilles,Trojan War,Agamemnon,image/jpeg,"https://commons.wikimedia.org/wiki/File:Achille_costretto_a_cedere_briseide_a_ad_agamennone,_9105,_01.JPG"
4,Helen (and Paris?),,Helen of Sparta boards the ship to Troy.,VI.8.3,House of the Tragic Poet,,3,45,79,4,MANN 9108,,1,Genre,Helen,Trojan War,Paris,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/0/02/Elena_aiutata_a_salire_sulla_nave_di_paride_verso_troia%2C_9108.JPG
5,Alcestis and Admetus,,A messenger reads a prophecy to Admetus and Alcestis telling Admetus that he will die unless someone takes his place.,VI.8.3,House of the Tragic Poet,,8,45,79,4,MANN 9027,,1,Genre,Alcestis; Admetus,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/d/db/Affreschi_romani_-_pompei_-_alcesti_e_admeto2.jpg
6,Europa on the bull,,Europa seated on the bull--actually Zeus in disguise--before she is carried off to Crete.,IX.5.18,House of Jason,House of the Fatal Loves,f,n20,n25,3,MANN 111475,,1,Genre,Europa,,,image/jpeg,https://artsandculture.google.com/asset/europe-on-the-bull/EQGYZ8ZXK1n_mA?hl=en
7,Medea,,"Medea with her children, Mermerus and Pheres (?).",IX.5.18,House of Jason,House of the Fatal Loves,e,n20,n25,3,MANN 114321,,1,Genre,Medea,,Mermerus; Pheres,image/jpeg,https://artsandculture.google.com/asset/medea/dAHpnlqFGIzZ9A?hl=en
8,Phaedra with attendant,,Phaedra seated with an attendant reading a letter.,IX.5.18,House of Jason,House of the Fatal Loves,e,n20,n25,3,MANN 114322,,1,Genre,Phaedra,,,image/jpeg,https://artsandculture.google.com/asset/phaedra-with-attendant/lwGRi9Jv17BJjA?hl=en
9,Paris and Helen,,"Seated Helen, with Paris standing in the doorway.",IX.5.18,House of Jason,House of the Fatal Loves,e,n20,n25,3,MANN 114320,,1,Genre,Helen; Paris,Trojan War,,image/jpeg,https://artsandculture.google.com/asset/paris-and-helen/5QFMxqXMmAdtww?hl=en
10,Hercules and Nessus,,"Hercules, carrying his son Hyllus,  and Deianira meet the centaur Nessus at the river. ",VI.9.5,House of Centaur,Casa di A. Vettius Caprasius Felix,26,30,45,,MANN 9001,,1,Genre,Hercules; Nessus; Hyllus; Deianira,,,image/jpeg,https://artsandculture.google.com/asset/hercules-and-nessus/GgGbhDXYMV_ncA?hl=en
11,Meleager and Atalanta,,Seated Meleager with Atalanta after killing the Calydonian boar.,VI.9.5,House of Centaur,Casa di A. Vettius Caprasius Felix,26,30,45,,MANN 8980,,1,Genre,Meleager; Atalanta; Calydonian Boar,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Fresco_with_Meleager_%26_Atalanta_%2849346045733%29.jpg
12,Perseus and Andromeda,,Perseus freeing Andromeda from the cliff.,VI.9.6,Casa dei Dioscuri,House of Castor and Pollux,,62,79,4,MANN 8998,,1,Genre,Perseus; Andromeda; Medusa,,,image/jpeg,https://artsandculture.google.com/asset/perseus-and-andromeda/eQHHJxSe0KSEbQ?hl=en
13,Selene and Endymion,,Seated Endymion with a flying Selene.,VI.9.6,Casa dei Dioscuri,House of Castor and Pollux,14,,,,MANN 9240,,1,Genre,Selene; Endymion,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/2/21/Selene_Endymion_MAN_Napoli_Inv9240.jpg
14,Selene and Endymion,,,VI.16.15,Casa dell'Ara Massima,House of Pinarius,f,1,79,4,IN SITU,,1,Genre,Selene; Endymion,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/d/d6/Selene_and_Endymion%2C_fresco_from_Pompeii%2C_Casa_dell%27Ara_Massima.jpg
15,Theseus the liberator,,Theseus liberating the people of Athens from the tribute imposed on them by Crete. The slain Minotaur is featured. ,VII.2.16,House of Gavius Rufus,Casa di Teseo,,45,79,4,MANN 9043,,1,Genre,Theseus; Minotaur,,,image/jpeg,https://artsandculture.google.com/asset/theseus-the-liberator/FwH6d02gskU2gA?hl=en
16,Io and Argus,,"Seated Io after she was transformed into a heifer by Zeus. She is watched over by her jailer, Argus.",VI.9.2,House of the Meleager,House of L. Cornelius Primogenes,8,62,79,4,MANN 9556,,1,Genre,Io; Argus,,,image/jpeg,https://artsandculture.google.com/asset/io-and-argo/PAHRRSAAa_D9Zg?hl=en
17,Mars and Venus,,Reclining nude Venus with seated Mars.,VI.9.2,House of the Meleager,House of L. Cornelius Primogenes,,,,,MANN 9250,,1,Genre,Mars; Venus,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/8/87/Fragment_of_wall_painting_depicting_Mars_and_Venus%2C_from_the_House_of_Meleager_in_Pompeii%2C_Naples_National_Archaeological_Museum_%2817136444089%29.jpg
18,Atalanta and Cupid,,Seated Atalanta with cupid.,VI.9.2,House of the Meleager,House of L. Cornelius Primogenes,,,,,MANN 8897,,1,Genre,Atalanta; Cupid,,,image/jpeg,http://pompeiiinpictures.com/pompeiiinpictures/R6/6%2009%2002%20part%201_files/image052.jpg
19,Abandoned Dido on throne,,"Seated Dido after being abandoned by Aeneas, surrounded by maids or personifications of the continents. Aeneas' ship sails away in the background.",VI.9.2,House of the Meleager,House of L. Cornelius Primogenes,3,,,4,MANN 8898,,1,Genre,Dido,Aeneid,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Dido_Abandoned%2C_from_Pompeii_VI.9.2_%28House_of_Meleager%29%2C_atrium._Naples%2C_Archaeological_Museum_8898_-_01.jpg
20,Daedalus and Pasiphae,,Daedalus presenting Pasiphae with the wooden bull.,VII.4.48,Casa della Caccia Antica,House of the Ancient Hunt,10,45,79,4,MANN 8979,,1,Genre,Daedalus; Pasiphae,,,image/jpeg,https://artsandculture.google.com/asset/daedalus-and-pasiphae/JgFIuewuwg_12A?hl=en
21,Ariadne being abandoned by Theseus,,Theseus abandoning Ariadne as he sails on his ship. Cupid watches over Ariadne.,VI.15.1,House of the Vettii,Casa dei Vettii,d,62,79,4,IN SITU,,1,Genre,Ariadne; Theseus; Cupid,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/9/9c/House_of_the_Vettii_VI_15%2C1_Pompeii_2018_Central_wall_painting_from_north_wall_of_bedroom_on_left_of_main_entrance%2C_Ariadne_being_abandoned_by_Theseus_courtesy_of_Aude_Durand.jpg
22,Leander and Hero,,Leander swimming towards Hero in her tower.,VI.15.1,House of the Vettii,Casa dei Vettii,d,62,79,4,IN SITU,,1,Genre,Leander; Hero,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/c/ca/House_of_the_Vettii_VI_15%2C1_Pompeii_2017_South_wall_of_bedroom_on_left_of_main_entrance%2C_with_painting_of_Leander_swimming_towards_his_beloved_Hero_in_her_tower_courtesy_of_Buzz_Ferebee.jpg
23,Hercules strangling the serpents,,"Baby Hercules strangling the serpents with his parents, Alcmene and Amphitryon.",VI.15.1,House of the Vettii,Casa dei Vettii,n,62,79,4,IN SITU,,1,Genre,Hercules; Alcmene; Amphitryon,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Hercules_strangling_the_serpents%2C_Pompeii_VI.15.1_%28House_of_the_Vetti%29%2C_triclinium_n%2C_north_wall.jpg
24,Death of Pentheus,,Death of Pentheus by the Maenads.,VI.15.1,House of the Vettii,Casa dei Vettii,n,62,79,4,IN SITU,,1,Genre,Pentheus; Maenads,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/c/c1/Pompeii_-_Casa_dei_Vettii_-_Pentheus.jpg
25,Punishment of Dirce,,Punishment of Dirce by Amphion and Zethos.,VI.15.1,House of the Vettii,Casa dei Vettii,n,62,79,4,IN SITU,,1,Genre,Dirce; Amphion; Zethos,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Zetoyanfion.jpg
26,Metamorphosis of Cyparissus,,Metamorphosis of Cyparisuss with maid looking on.,VI.15.1,House of the Vettii,Casa dei Vettii,e,62,79,4,IN SITU,,1,Genre,Cyparisuss,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/5/59/Fresco_depicting_the_metamorphosis_of_Cyparissus%2C_House_of_the_Vettii%2C_Pompeii.jpg
27,Dionysus and Ariadne with Eros and Pan,,Dionysus and Ariadne with the fight between Eros and Pan.,VI.15.1,House of the Vettii,Casa dei Vettii,e,62,79,4,IN SITU,,1,Genre,Dionysus; Ariadne; Eros; Pan,,Silenus,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/8/82/House_of_the_Vettii_VI_15%2C1_Pompeii_2023_Central_wall_painting_on_south_wall_showing_Dionysus_and_Ariadne%2C_as_well_as_the_fight_between_Eros_and_Pann_courtesy_of_Johannes_Eber.jpg
28,Daedalus and Pasiphae,,Daedalus showing Pasiphae the wooden cow.,VI.15.1,House of the Vettii,Casa dei Vettii,p,62,79,4,IN SITU,,1,Genre,Daedalus; Pasiphae,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/7/70/House_of_the_Vettii_VI_15%2C1_Pompeii_2023_Central_painting_of_Daedalus_showing_Pasiphae_the_wooden_cow%2C_from_center_of_north_wall_of_exedra_p_%28Mau_plan%29_courtesy_of_Johannes_Eber.jpg
29,Ixion on the wheel,,"Torture of Ixion on the wheel, with Hephaestus, Hermes, and Hera presiding. Iris stands to Hera's left.",VI.15.1,House of the Vettii,Casa dei Vettii,p,62,79,4,IN SITU,,1,Genre,Ixion; Hephaestus; Hermes; Hera; Iris,,Nephele,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/5/57/Casa_dei_vettii%2C_vestibolo%2C_oechus_affrescato_sul_peristilio%2C_issione_legato_alla_ruota_da_vulcano_alla_presenza_di_giunone_01.jpg
30,Dionysus watching over Ariadne,,Dionysus watching over a sleeping  Ariadne after she is abandoned by Theseus. With Maenads and satyrs.,VI.15.1,House of the Vettii,Casa dei Vettii,p,62,79,4,IN SITU,,1,Genre,Dionysus; Ariadne; Maenads,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Bacchus_discovering_Ariadne%2C_Pompeii_VI.15.1_%28House_of_the_Vetti%29%2C_polychrome_exedra_p%2C_south_wall_-_01.jpg
31,Theseus abandoning Ariadne,,Theseus abandoning Ariadne on Naxos to board the ship that will carry him to Athens.,V.1.26,House of L. Caecilius Jucundus,,o,35,45,,MANN 115396,,1,Genre,Theseus; Ariadne,,,image/jpeg,https://artsandculture.google.com/asset/theseus-and-ariadne/iwGGAygCkRzrMw?hl=en
32,Punishment of Dirce,,"Punishment of Dirce by  Antiope and her sons, Amphion and Zethos.",VII.4.56,Casa del Granduca di Toscana,House of the Grand Duke of Tuscany,9,30,40,3,MANN 9042,,1,Genre,"Dirce; Antiope, Amphion, Zethos",,,image/jpeg,https://artsandculture.google.com/asset/punishment-of-dirce/AAGEIQL4kq-D_A?hl=en
33,Perseus freeing Andromeda,,Perseus freeing Andromeda from the cliff.,VII.16.10,House of the Prince of Montenegro,Scavo del Principe del Montenegro,oecus,20,45,3,MANN 8997,,1,Genre,Perseus; Andromeda; Medusa,,,image/jpeg,https://artsandculture.google.com/asset/perseus-freeing-andromeda/QgGNdEynPeFxtA?hl=en
34,Drunken Hercules with Omphale,,Drunken Hercules with Omphale while cupids steal his club.,VII.16.10,House of the Prince of Montenegro,Scavo del Principe del Montenegro,oecus,,,3,MANN 9000,,1,Genre,Hercules; Omphale; Cupids,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/c/cc/Hercules_and_Omphale%2C_from_Pompeii_VII_Ins_Occ_10._Naples%2C_Archaeological_Museum_9000.jpg
35,Epiphany of Dionysus,Bacchus discovering Ariadne,Ariadne being discovered by Dionysus on Naxos while a cupid watches over her.,VII.4.31/51,House of the Colored Capitals,House of Ariadne,24,45,79,4,MANN 9278,,1,Genre,Dionysus; Ariadne; Cupids,,Maenads,image/jpeg,https://artsandculture.google.com/asset/epiphany-of-dionysus/_wF5MmONTgAHvQ?hl=en
36,Ares and Aphrodite,Mars and Venus,Reclining nude Aphrodite with Ares and cupids.,VII.9.47,House of Venus and Mars,House of the Wedding of Hercules,7,45,79,4,MANN 9248,,1,Genre,Ares; Aphrodite; Cupids,,,image/jpeg,https://artsandculture.google.com/asset/ares-and-aphrodite/VQGiB6oeVovUzg?hl=en
37,Narcissus,,Seated Narcissus on a rock.,VI.16.15,Casa dell'Ara Massima,House of Pinarius,d,,,,IN SITU,,1,Genre,Narcissus,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/8/80/Narcissus%2C_Pompeii_VI.16.15_%28House_of_the_Ara_Maxima%29%2C_pseudo-tablinum_D%2C_west_wall_-_02.jpg
38,Narcissus and Echo,,Seated Narcissus on rock with Echo and cupids.,VI.7.20,Casa dell’Argenteria,Casa dei Vasi d’Argento,7,45,79,4,MANN 9380,,1,Genre,Narcissus; Echo,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/e/ee/Affresco_romano_-_Pompei_-_Narciso_ed_Eco.JPG